iter	Passed	Remaining
0	57	57930
1	58	29060
2	58	19425
3	58	14617
4	58	11728
5	59	9799
6	59	8421
7	59	7389
8	59	6586
9	60	5941
10	60	5414
11	60	4977
12	60	4605
13	60	4287
14	61	4010
15	61	3768
16	61	3555
17	61	3366
18	61	3196
19	62	3044
20	62	2905
21	62	2780
22	62	2665
23	62	2559
24	63	2462
25	63	2373
26	63	2290
27	63	2213
28	63	2141
29	64	2074
30	64	2012
31	64	1954
32	64	1898
33	64	1846
34	65	1797
35	65	1751
36	65	1707
37	65	1666
38	66	1626
39	66	1589
40	66	1553
41	66	1519
42	66	1487
43	67	1456
44	67	1426
45	67	1398
46	67	1371
47	67	1345
48	68	1320
49	68	1297
50	68	1274
51	68	1252
52	68	1231
53	69	1211
54	69	1191
55	69	1172
56	69	1153
57	69	1135
58	70	1118
59	70	1101
60	70	1085
61	70	1069
62	70	1054
63	71	1040
64	71	1026
65	71	1012
66	71	999
67	71	984
68	72	972
69	72	959
70	72	947
71	72	936
72	72	924
73	73	914
74	73	903
75	73	892
76	73	882
77	73	873
78	74	863
79	74	854
80	74	845
81	74	836
82	74	827
83	75	819
84	75	809
85	75	801
86	75	792
87	75	785
88	75	777
89	76	770
90	76	762
91	76	755
92	76	748
93	76	741
94	77	735
95	77	728
96	77	722
97	77	715
98	77	709
99	78	703
100	78	697
101	78	690
102	78	685
103	78	679
104	79	674
105	79	668
106	79	663
107	79	658
108	79	652
109	80	647
110	80	642
111	80	638
112	80	633
113	80	628
114	81	624
115	81	619
116	81	614
117	81	610
118	81	605
119	82	601
120	82	597
121	82	593
122	82	588
123	82	584
124	82	580
125	83	576
126	83	572
127	83	568
128	83	564
129	83	560
130	83	557
131	84	553
132	84	550
133	84	546
134	84	543
135	84	539
136	85	536
137	85	533
138	85	529
139	85	526
140	85	523
141	86	520
142	86	517
143	86	514
144	86	511
145	86	508
146	87	505
147	87	502
148	87	500
149	87	497
150	87	494
151	88	491
152	88	489
153	88	486
154	88	483
155	88	481
156	89	478
157	89	476
158	89	473
159	89	471
160	90	469
161	90	466
162	90	464
163	90	461
164	90	459
165	91	457
166	91	454
167	91	452
168	91	450
169	91	448
