iter	Passed	Remaining
0	58	58477
1	58	29327
2	59	19610
3	59	14777
4	59	11851
5	59	9905
6	60	8516
7	60	7472
8	60	6659
9	60	6014
10	60	5483
11	61	5040
12	61	4663
13	61	4340
14	61	4061
15	62	3815
16	62	3599
17	62	3408
18	62	3236
19	62	3081
20	63	2942
21	63	2815
22	63	2699
23	63	2592
24	64	2498
25	64	2418
26	64	2336
27	65	2261
28	65	2188
29	65	2120
30	65	2057
31	66	1997
32	66	1941
33	66	1888
34	66	1838
35	66	1791
36	67	1746
37	67	1703
38	67	1663
39	67	1627
40	68	1591
41	68	1556
42	68	1525
43	68	1493
44	68	1462
45	69	1436
46	69	1408
47	69	1381
48	69	1355
49	70	1330
50	70	1306
51	70	1283
52	70	1261
53	70	1240
54	71	1221
55	71	1202
56	71	1184
57	71	1166
58	71	1148
59	72	1130
60	72	1114
61	72	1099
62	72	1083
63	73	1068
64	73	1054
65	73	1039
66	73	1025
67	73	1013
68	74	1001
69	74	988
70	74	976
71	74	964
72	75	953
73	75	942
74	75	931
75	75	920
76	75	910
77	76	900
78	76	891
79	76	882
80	77	873
81	77	864
82	77	854
83	77	845
84	77	836
85	77	828
86	78	820
87	78	813
88	78	805
89	78	797
90	79	790
91	79	782
92	79	776
93	79	769
94	80	762
95	80	756
96	80	749
97	80	742
98	80	736
99	81	730
100	81	723
101	81	717
102	81	711
103	81	705
104	82	700
105	82	694
106	82	688
107	82	683
108	82	677
109	83	672
110	83	667
111	83	662
112	83	658
113	84	653
114	84	648
115	84	643
116	84	638
117	84	635
118	85	630
119	85	626
120	85	622
121	85	617
122	86	613
123	86	609
124	86	605
125	86	602
126	86	597
127	87	593
128	87	590
129	87	586
130	87	582
131	88	578
132	88	575
133	88	571
134	88	568
135	88	564
136	89	561
137	89	557
138	89	554
139	89	550
140	89	547
141	90	543
142	90	540
143	90	537
144	90	534
145	90	532
146	91	528
147	91	525
148	91	522
149	91	519
150	91	517
151	92	514
152	92	511
153	92	508
154	92	505
155	92	502
156	93	500
157	93	497
158	93	495
159	93	492
160	93	489
161	94	486
162	94	484
163	94	481
164	94	479
165	94	476
166	95	474
167	95	472
168	95	469
169	95	467
170	95	465
171	96	463
172	96	461
173	96	458
174	96	456
175	97	454
176	97	452
177	97	450
178	97	448
179	97	446
180	98	444
181	98	442
182	98	440
183	98	438
184	99	436
185	99	434
186	99	433
187	99	431
188	100	429
189	100	427
190	100	425
191	100	423
192	100	421
193	101	420
194	101	418
195	101	416
196	101	415
197	102	413
198	102	411
199	102	409
200	102	407
201	102	406
202	103	404
203	103	403
204	103	401
205	103	399
206	103	398
207	104	396
208	104	395
209	104	393
210	104	392
211	105	390
212	105	389
213	105	387
214	105	386
215	105	384
216	106	382
217	106	381
218	106	380
219	106	378
220	106	377
221	107	375
222	107	374
223	107	372
224	107	371
225	108	370
226	108	369
227	108	368
228	108	366
229	109	365
230	109	364
231	109	362
232	109	361
233	109	359
234	110	358
235	110	357
236	110	355
237	110	354
238	110	353
239	111	352
240	111	350
241	111	349
242	111	348
243	112	347
244	112	346
245	112	344
246	112	343
247	112	342
248	113	341
249	113	339
250	113	338
251	113	337
252	113	336
253	114	335
254	114	334
255	114	333
256	114	331
257	115	330
258	115	329
259	115	328
260	115	327
261	115	326
262	116	325
263	116	324
264	116	323
265	116	322
266	116	321
267	117	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	313
274	118	312
275	118	311
276	118	310
277	119	309
278	119	308
279	119	307
280	119	306
281	120	305
282	120	304
283	120	303
284	120	302
285	120	302
286	121	301
287	121	300
288	121	299
289	121	298
290	122	297
291	122	296
292	122	295
293	122	294
294	122	293
295	123	292
296	123	291
297	123	290
298	123	290
299	123	289
300	124	288
301	124	287
302	124	286
303	124	285
304	125	285
305	125	284
306	125	283
307	125	282
308	125	281
309	126	280
310	126	279
311	126	278
312	126	278
313	126	277
314	127	276
315	127	275
316	127	274
317	127	273
318	127	273
319	128	272
320	128	271
321	128	270
322	128	270
323	129	269
324	129	268
325	129	267
326	129	266
327	129	266
328	130	265
329	130	264
330	130	263
331	130	262
332	130	262
333	131	261
334	131	260
335	131	259
336	131	259
337	131	258
338	132	257
339	132	257
340	132	256
341	132	255
342	133	254
343	133	254
344	133	253
345	133	252
346	133	251
347	134	251
348	134	250
349	134	249
350	134	248
351	134	248
352	135	247
353	135	246
354	135	246
355	135	245
356	135	244
357	136	244
358	136	243
359	136	242
360	136	242
361	136	241
362	137	240
363	137	239
364	137	239
365	137	238
366	137	237
367	138	237
368	138	236
369	138	235
370	138	235
371	139	234
372	139	234
373	139	233
374	139	232
375	139	232
376	140	231
377	140	231
378	140	230
379	140	229
380	141	229
381	141	228
382	141	227
383	141	227
384	141	226
385	142	225
386	142	225
387	142	224
388	142	224
389	142	223
390	143	222
391	143	222
392	143	221
393	143	220
394	143	220
395	143	219
396	144	218
397	144	218
398	144	217
399	144	217
400	145	216
401	145	216
402	145	215
403	145	214
404	145	214
405	146	213
406	146	213
407	146	212
408	146	212
409	147	211
410	147	211
411	147	210
412	147	210
413	148	209
414	148	208
415	148	208
416	148	207
417	148	207
418	148	206
419	149	206
420	149	205
421	149	204
422	149	204
423	150	203
424	150	203
425	150	202
426	150	202
427	150	201
428	151	201
429	151	200
430	151	199
431	151	199
432	151	198
433	152	198
434	152	197
435	152	197
436	152	196
437	152	196
438	153	195
439	153	195
440	153	194
441	153	194
442	154	193
443	154	193
444	154	192
445	154	192
446	154	191
447	155	191
448	155	190
449	155	190
450	155	189
451	156	189
452	156	188
453	156	188
454	156	187
455	157	187
456	157	186
457	157	186
458	157	186
459	158	185
460	158	185
461	158	184
462	158	184
463	158	183
464	159	183
465	159	182
466	159	182
467	159	181
468	159	181
469	160	180
470	160	180
471	160	179
472	160	179
473	161	178
474	161	178
475	161	177
476	161	177
477	161	176
478	162	176
479	162	175
480	162	175
481	162	174
482	162	174
483	163	173
484	163	173
485	163	173
486	163	172
487	164	172
488	164	171
489	164	171
490	164	170
491	164	170
492	165	169
493	165	169
494	165	168
495	165	168
496	165	167
497	166	167
498	166	166
499	166	166
500	166	166
501	166	165
502	167	165
503	167	164
504	167	164
505	167	163
506	167	163
507	168	162
508	168	162
509	168	161
510	168	161
511	168	161
512	169	160
513	169	160
514	169	159
515	169	159
516	170	158
517	170	158
518	170	157
519	170	157
520	170	157
521	171	156
522	171	156
523	171	155
524	171	155
525	171	154
526	172	154
527	172	153
528	172	153
529	172	153
530	172	152
531	173	152
532	173	151
533	173	151
534	173	150
535	173	150
536	174	150
537	174	149
538	174	149
539	174	148
540	174	148
541	175	147
542	175	147
543	175	147
544	175	146
545	175	146
546	176	145
547	176	145
548	176	145
549	176	144
550	177	144
551	177	143
552	177	143
553	177	143
554	177	142
555	178	142
556	178	141
557	178	141
558	178	141
559	179	140
560	179	140
561	179	139
562	179	139
563	180	139
564	180	138
565	180	138
566	180	137
567	180	137
568	181	137
569	181	136
570	181	136
571	181	135
572	181	135
573	182	135
574	182	134
575	182	134
576	182	134
577	182	133
578	183	133
579	183	132
580	183	132
581	183	132
582	183	131
583	184	131
584	184	130
585	184	130
586	184	130
587	185	129
588	185	129
589	185	128
590	185	128
591	185	128
592	186	127
593	186	127
594	186	127
595	186	126
596	187	126
597	187	125
598	187	125
599	187	125
600	187	124
601	188	124
602	188	123
603	188	123
604	188	123
605	188	122
606	189	122
607	189	122
608	189	121
609	189	121
610	189	120
611	190	120
612	190	120
613	190	119
614	190	119
615	191	119
616	191	118
617	191	118
618	191	117
619	191	117
620	192	117
621	192	116
622	192	116
623	192	116
624	193	115
625	193	115
626	193	115
627	193	114
628	193	114
629	194	114
630	194	113
631	194	113
632	194	112
633	194	112
634	195	112
635	195	111
636	195	111
637	195	111
638	196	110
639	196	110
640	196	110
641	196	109
642	196	109
643	197	108
644	197	108
645	197	108
646	197	107
647	197	107
648	198	107
649	198	106
650	198	106
651	198	106
652	199	105
653	199	105
654	199	105
655	199	104
656	199	104
657	200	104
658	200	103
659	200	103
660	200	102
661	200	102
662	201	102
663	201	101
664	201	101
665	201	101
666	202	100
667	202	100
668	202	100
669	202	99
670	202	99
671	203	99
672	203	98
673	203	98
674	203	98
675	203	97
676	204	97
677	204	97
678	204	96
679	204	96
680	204	95
681	205	95
682	205	95
683	205	94
684	205	94
685	205	94
686	206	93
687	206	93
688	206	93
689	206	92
690	206	92
691	207	92
692	207	91
693	207	91
694	207	91
695	208	90
696	208	90
697	208	90
698	208	89
699	208	89
700	209	89
701	209	88
702	209	88
703	209	88
704	210	87
705	210	87
706	210	87
707	210	86
708	210	86
709	211	86
710	211	85
711	211	85
712	211	85
713	211	84
714	212	84
715	212	84
716	212	83
